date;Open*;High;Low;Close**;Volume;Market Cap;
2024-12-16;104293.58;107780.58;103322.98;106029.72;91020417816;91020417816;
2024-12-15;101373.53;105047.54;101227.03;104298.7;51145914137;51145914137;
2024-12-14;101451.44;102618.88;100634.06;101372.97;40422968793;40422968793;
2024-12-13;100046.65;101888.81;99233.28;101459.25;56894751583;56894751583;
2024-12-12;101167.81;102524.91;99339.95;100043;72073983533;72073983533;
2024-12-11;96656.06;101913.36;95747.23;101173.03;85391409936;85391409936;
2024-12-10;97441.23;98270.15;94321.26;96675.43;1.04824E+11;104823780634;
2024-12-09;101237.06;101272.5;94355.91;97432.72;1.10676E+11;110676473908;
2024-12-08;99921.92;101399.99;98771.51;101236.01;44125751925;44125751925;
2024-12-07;99916.71;100563.38;99030.89;99923.34;44177510897;44177510897;
2024-12-06;97074.22;102039.88;96514.88;99920.71;94534772658;94534772658;
2024-12-05;98741.54;103900.47;91998.78;96593.57;1.49219E+11;149218945580;
2024-12-04;95988.53;99207.33;94660.52;98768.53;77199817112;77199817112;
2024-12-03;95854.6;96297.2;93629.56;96002.16;67067810961;67067810961;
2024-12-02;97276.01;98152.6;94482.86;95865.3;72680784305;72680784305;
2024-12-01;96461.34;97888.13;95770.18;97279.79;36590695296;36590695296;
2024-11-30;97468.81;97499.34;96144.22;96449.06;31634227866;31634227866;
2024-11-29;95653.95;98693.17;95407.89;97461.52;54968682476;54968682476;
2024-11-28;95954.94;96650.2;94677.35;95652.47;52260008261;52260008261;
2024-11-27;91978.14;97361.18;91778.66;95962.53;71133452438;71133452438;
2024-11-26;93087.28;94991.75;90770.82;91985.32;91656519855;91656519855;
2024-11-25;98033.44;98935.03;92642.91;93102.3;80909462490;80909462490;
2024-11-24;97778.1;98647.18;95788.08;98013.82;51712020623;51712020623;
2024-11-23;99006.74;99014.68;97232.89;97777.28;44414644677;44414644677;
2024-11-22;98496.43;99655.5;97222.67;98997.66;78473580551;78473580551;
2024-11-21;94334.64;99014.21;94132.6;98504.73;1.06025E+11;106024505582;
2024-11-20;92341.89;94902.02;91619.5;94339.5;71730956426;71730956426;
2024-11-19;90536.81;94002.87;90426.99;92343.79;74521048295;74521048295;
2024-11-18;89843.72;92596.79;89393.59;90542.64;75535775084;75535775084;
2024-11-17;90558.46;91433.04;88741.67;89845.85;46350159305;46350159305;
2024-11-16;91064.37;91763.95;90094.23;90558.48;44333192814;44333192814;
2024-11-15;87284.18;91868.74;87124.9;91066.01;78243109518;78243109518;
2024-11-14;90574.88;91765.22;86682.82;87250.43;87616705248;87616705248;
2024-11-13;87929.97;93434.36;86256.93;90584.17;1.23559E+11;123559027869;
2024-11-12;88705.56;89956.88;85155.11;87955.81;1.33673E+11;133673285375;
2024-11-11;80471.41;89604.5;80283.25;88701.49;1.17967E+11;117966845037;
2024-11-10;76775.54;81474.42;76565.43;80474.19;82570594495;82570594495;
2024-11-09;76556.19;76932.76;75773.79;76778.87;29009480361;29009480361;
2024-11-08;75902.83;77252.75;75648.74;76545.48;55176858003;55176858003;
2024-11-07;75637.08;76943.12;74480.42;75904.86;63467654989;63467654989;
2024-11-06;69358.5;76460.15;69322.03;75639.08;1.18593E+11;118592653963;
2024-11-05;67811.17;70522.79;67458.87;69359.57;46046889204;46046889204;
2024-11-04;68742.13;69433.18;66803.65;67811.51;41184819348;41184819348;
2024-11-03;69296.38;69361.66;67482.53;68741.12;34868307655;34868307655;
2024-11-02;69486.02;69867.35;69033.72;69289.28;18184612091;18184612091;
2024-11-01;70216.9;71559.02;68779.7;69482.47;49989795365;49989795365;
2024-10-31;72335.04;72662.31;69590.5;70215.19;40627912076;40627912076;
2024-10-30;72715.37;72905.3;71411.74;72339.54;40646637831;40646637831;
2024-10-29;69910.05;73577.21;69729.92;72720.49;58541874402;58541874402;
2024-10-28;67922.67;70212.27;67535.13;69907.75;38799856657;38799856657;
2024-10-27;67023.48;68221.31;66847.22;67929.3;16721307878;16721307878;
2024-10-26;66628.74;67317.92;66360.6;67014.7;19588098156;19588098156;
